업종명,신고일자,업소명,영업소 주소(도로명),영업소 주소(지번)
숙박업(일반),1966-10-11,하나여인숙,전라남도 여수시 교동시장4길 16-3 (교동),전라남도 여수시 교동 622-18 
숙박업(일반),1966-12-03,호텔마띠유여수,전라남도 여수시 오동도로 20 (공화동),전라남도 여수시 공화동 766 1~4층 
숙박업(일반),1969-09-09,"여수, 스파앤하우스",전라남도 여수시 동문로 10-13 (중앙동),전라남도 여수시 중앙동 474 
숙박업(일반),1970-11-11,서울,전라남도 여수시 동문로 124-3 (공화동),전라남도 여수시 공화동 685 
숙박업(일반),1970-12-19,삼오,전라남도 여수시 서교연등천길 7 (서교동),전라남도 여수시 서교동 532-2 
숙박업(일반),1970-11-19,그린장,전라남도 여수시 서교3길 6 (서교동),전라남도 여수시 서교동 422-1 
숙박업(일반),1971-10-21,국제장,전라남도 여수시 동문로 124-6 (공화동),전라남도 여수시 공화동 710 
숙박업(일반),1971-11-12,팔도모텔,전라남도 여수시 공화북2길 25-1 (공화동),전라남도 여수시 공화동 1087-1 
숙박업(일반),1972-08-08,헤라모텔,전라남도 여수시 봉산남8길 11-23 (봉산동),전라남도 여수시 봉산동 275-14 
숙박업(일반),1973-11-23,신광,전라남도 여수시 교동시장2길 6-2 (교동),전라남도 여수시 교동 622 
숙박업(일반),1974-08-07,아모르,전라남도 여수시 교동남1길 6-1 (교동),전라남도 여수시 교동 540 
숙박업(일반),1975-03-17,다이아모텔,전라남도 여수시 교동남1길 6-3 (교동),전라남도 여수시 교동 550 
숙박업(일반),1975-05-03,신생모텔,전라남도 여수시 충무2길 8 (충무동),전라남도 여수시 충무동 544-2 
숙박업(일반),1976-03-31,화신장,전라남도 여수시 오동도로 100 (수정동),전라남도 여수시 수정동 99-1 
숙박업(일반),1977-06-11,조씨집,전라남도 여수시 율촌면 구암1길 53-3,전라남도 여수시 율촌면 신풍리 205-2 
숙박업(일반),1978-12-07,드림,전라남도 여수시 공화북2길 3 (공화동),전라남도 여수시 공화동 1227-1 
숙박업(일반),1978-03-15,이루다  게스트하우스,전라남도 여수시 동문로 71-1 (관문동),전라남도 여수시 관문동 987 
숙박업(일반),1978-12-11,하늘하우스,전라남도 여수시 공화북3길 8 (공화동),전라남도 여수시 공화동 1283 
숙박업(일반),1980-05-19,금성,전라남도 여수시 교동남1길 6-11 (교동),전라남도 여수시 교동 564 
숙박업(일반),1980-04-18,뉴낙원모텔,전라남도 여수시 오동도로 90 (수정동),전라남도 여수시 수정동 299 
숙박업(일반),1980-04-07,홍은장,전라남도 여수시 관문서3길 14-2 (관문동),전라남도 여수시 관문동 313 
숙박업(일반),1981-01-08,산수장,전라남도 여수시 충무5길 5 (충무동),전라남도 여수시 충무동 416 
숙박업(일반),1981-04-03,나의 사계,전라남도 여수시 공화남2길 18 (공화동),전라남도 여수시 공화동 1047-10 
숙박업(일반),1981-10-06,세화 모텔,전라남도 여수시 오동도로 61-20 (수정동),전라남도 여수시 수정동 343-5 
숙박업(일반),1981-06-23,거문장,전라남도 여수시 삼산면 거문길 74-7,전라남도 여수시 삼산면 거문리 75-5 
숙박업(일반),1982-12-08,홍도,전라남도 여수시 공화남2길 23-1 (공화동),전라남도 여수시 공화동 1025 
숙박업(일반),1982-01-13,송정,전라남도 여수시 서교연등천길 25-6 (서교동),전라남도 여수시 서교동 190-1 
숙박업(일반),1982-11-24,동백,전라남도 여수시 삼산면 거문길 28-7,전라남도 여수시 삼산면 거문리 128-18 
숙박업(일반),1983-03-15,여수스테이,전라남도 여수시 고소1길 5 (고소동),전라남도 여수시 고소동 811-1 
숙박업(일반),1985-07-23,하림각모텔,전라남도 여수시 연등8길 17-1 (연등동),전라남도 여수시 연등동 720-5 
숙박업(일반),1985-07-23,백운모텔,전라남도 여수시 공화남2길 8-1 (공화동),전라남도 여수시 공화동 1256-3 
숙박업(일반),1985-05-28,반도장,전라남도 여수시 관문4길 5 (관문동),전라남도 여수시 관문동 669 
숙박업(일반),1985-12-28,파파야,전라남도 여수시 봉산남8길 17-25 (봉산동),전라남도 여수시 봉산동 276-3 
숙박업(일반),1985-02-26,그림정원,전라남도 여수시 관문서8길 10-2 (관문동),전라남도 여수시 관문동 989 
숙박업(일반),1986-09-10,썬모텔,전라남도 여수시 충무4길 5 (충무동),전라남도 여수시 충무동 563 
숙박업(일반),1986-01-09,화린,전라남도 여수시 좌수영로 63-8 (광무동),전라남도 여수시 광무동 80-1 
숙박업(일반),1986-01-24,렉시,전라남도 여수시 봉산남5길 11 (봉산동),전라남도 여수시 봉산동 247-10 
숙박업(일반),1986-05-15,T-모텔,전라남도 여수시 학동서1길 5 (학동),전라남도 여수시 학동 44-7 
숙박업(일반),1986-08-27,오션힐,전라남도 여수시 학동서1길 13 (학동),전라남도 여수시 학동 44-4 
숙박업(일반),1986-12-08,거북여관,전라남도 여수시 거북선공원3길 14-1 (학동),전라남도 여수시 학동 77-6 
숙박업(일반),1986-10-10,하얀집,전라남도 여수시 삼산면 거문길 108-1,전라남도 여수시 삼산면 거문리 87-24 
숙박업(일반),1987-05-09,모이리 게스트하우스,전라남도 여수시 봉산남6길 11-17 (봉산동),전라남도 여수시 봉산동 257-3 
숙박업(일반),1987-11-28,리츠모텔,전라남도 여수시 거북선공원1길 8 (학동),전라남도 여수시 학동 81-1 
숙박업(일반),1987-11-28,킹덤모텔,전라남도 여수시 봉산남7길 5-2 (봉산동),전라남도 여수시 봉산동 262-11 
숙박업(일반),1988-08-09,장원,전라남도 여수시 교동시장1길 3-6 (교동),전라남도 여수시 교동 626-23 
숙박업(일반),1988-09-22,샹보르관광호텔,전라남도 여수시 공화남2길 20 (공화동),전라남도 여수시 공화동 1054-1 
숙박업(일반),1988-01-05,하모니모텔,전라남도 여수시 봉산남7길 11-11 (봉산동),전라남도 여수시 봉산동 262-5 
숙박업(일반),1988-05-09,미래모텔,전라남도 여수시 봉산남6길 11-15 (봉산동),전라남도 여수시 봉산동 257-16 
숙박업(일반),1988-07-01,H모텔,전라남도 여수시 봉산2로 45 (봉산동),전라남도 여수시 봉산동 259-3 
숙박업(일반),1988-10-05,클래식모텔,전라남도 여수시 봉산남7길 10 (봉산동),전라남도 여수시 봉산동 275-19 
숙박업(일반),1988-12-27,썬플라워모텔,전라남도 여수시 봉산남6길 11-9 (봉산동),전라남도 여수시 봉산동 257-12 
숙박업(일반),1988-11-25,J모텔,전라남도 여수시 거북선공원1길 6-4 (학동),전라남도 여수시 학동 83-2 
숙박업(일반),1988-03-11,시랜드모텔,전라남도 여수시 삼산면 거문길 92,전라남도 여수시 삼산면 거문리 87-35 
숙박업(일반),1989-02-01,CCK모텔,전라남도 여수시 오림2길 9 (오림동),전라남도 여수시 오림동 407-15 
숙박업(일반),1989-04-25,코인호텔,전라남도 여수시 오동도로 5 (공화동),전라남도 여수시 공화동 735 
숙박업(일반),1989-05-29,크로바모텔,전라남도 여수시 봉산남5길 13 (봉산동),전라남도 여수시 봉산동 246-13 
숙박업(일반),1989-06-02,여수게스트하우스벨루가B,전라남도 여수시 공화북4길 2 (공화동),전라남도 여수시 공화동 720 
숙박업(일반),1989-12-27,다와모텔,전라남도 여수시 공화북2길 13 (공화동),전라남도 여수시 공화동 1247 
숙박업(일반),1989-12-19,라스베가스,전라남도 여수시 충무3길 3 (충무동),전라남도 여수시 충무동 524-3 
숙박업(일반),1989-01-05,명동,전라남도 여수시 학동1길 16-9 (학동),전라남도 여수시 학동 38-5 
숙박업(일반),1989-05-02,레인보우,전라남도 여수시 학동서1길 11 (학동),전라남도 여수시 학동 44-5 
숙박업(일반),1990-09-28,황태자모텔,전라남도 여수시 광무1길 36 (광무동),전라남도 여수시 광무동 42-17 
숙박업(일반),1990-01-15,시드니,전라남도 여수시 오림4길 59 (오림동),전라남도 여수시 오림동 406-8 
숙박업(일반),1990-01-15,여수모텔,전라남도 여수시 오림2길 12 (오림동),전라남도 여수시 오림동 404-5 
숙박업(일반),1990-02-14,파티,전라남도 여수시 오림2길 12-6 (오림동),전라남도 여수시 오림동 404-7 
숙박업(일반),1990-03-20,프린스모텔,전라남도 여수시 동문로 87-1 (공화동),전라남도 여수시 공화동 1087-2 
숙박업(일반),1990-09-15,수안모텔,전라남도 여수시 오림4길 54 (오림동),전라남도 여수시 오림동 407-2 
숙박업(일반),1991-02-05,달빛 게스트하우스,전라남도 여수시 공화북4길 1 (공화동),전라남도 여수시 공화동 732-3 
