연번,업종명,업소명,영업소 주소(도로명),데이터기준일
1,숙박업(일반),일봉모텔,충청북도 옥천군 옥천읍 금장로 56,2024-08-08
2,숙박업(일반),더플레인호텔 비원,충청북도 옥천군 옥천읍 중앙로1길 8,2024-08-08
3,숙박업(일반),대흥모텔,충청북도 옥천군 옥천읍 금장로 5,2024-08-08
4,숙박업(일반),옥천호텔,충청북도 옥천군 옥천읍 옥천로 1553,2024-08-08
5,숙박업(일반),칠성장,충청북도 옥천군 옥천읍 중앙로11길 8,2024-08-08
6,숙박업(일반),산수장여관,충청북도 옥천군 청산면 청산관기로 13,2024-08-08
7,숙박업(일반),대호모텔,충청북도 옥천군 옥천읍 금장로 38,2024-08-08
8,숙박업(일반),우림파크,충청북도 옥천군 옥천읍 성왕로 1375,2024-08-08
9,숙박업(일반),부암파크,충청북도 옥천군 옥천읍 옥천로 1692,2024-08-08
10,숙박업(일반),마노하우스,충청북도 옥천군 군북면 환평길 16,2024-08-08
11,숙박업(일반),명가모텔,충청북도 옥천군 옥천읍 성왕로 1169,2024-08-08
12,숙박업(일반),목화모텔,충청북도 옥천군 청산면 교평길 14-1,2024-08-08
13,숙박업(일반),더플레인호텔 동양,충청북도 옥천군 옥천읍 중앙로1길 9,2024-08-08
14,숙박업(일반),힐,충청북도 옥천군 군북면 대정2길 4,2024-08-08
15,숙박업(일반),궁전모텔,충청북도 옥천군 옥천읍 성왕로 1496,2024-08-08
16,숙박업(일반),호텔 리베라,충청북도 옥천군 옥천읍 성왕로 1288,2024-08-08
17,숙박업(일반),전원모텔,충청북도 옥천군 옥천읍 옥천로 2042,2024-08-08
18,숙박업(일반),자자무인모텔,충청북도 옥천군 옥천읍 성왕로 1459,2024-08-08
19,숙박업(일반),호텔 금강,충청북도 옥천군 옥천읍 옥천로 1633,2024-08-08
20,숙박업(일반),엠엔모텔,충청북도 옥천군 군북면 이백1길 3-12,2024-08-08
21,숙박업(일반),바바라무인텔,충청북도 옥천군 옥천읍 성왕로 1438,2024-08-08
22,숙박업(일반),바바라B무인텔,충청북도 옥천군 옥천읍 교동2길 11,2024-08-08
23,숙박업(일반),제이앤비모텔2,충청북도 옥천군 군북면 비야대정로 172-1,2024-08-08
24,숙박업(일반),제이앤비모텔1,충청북도 옥천군 군북면 비야대정로 174,2024-08-08
25,숙박업(일반),스토리(A),충청북도 옥천군 옥천읍 성왕로 1458,2024-08-08
26,숙박업(일반),스토리(B),충청북도 옥천군 옥천읍 성왕로 1460,2024-08-08
27,숙박업(일반),애플,충청북도 옥천군 옥천읍 지용로 195,2024-08-08
28,숙박업(일반),자바라무인텔,충청북도 옥천군 군북면 비야대정로 269,2024-08-08
29,숙박업(일반),대청호텔,충청북도 옥천군 옥천읍 중앙로5길 6,2024-08-08
30,숙박업(일반),다이어트펜션,충청북도 옥천군 군서면 장령산로 307,2024-08-08
31,숙박업(일반),장령산무인호텔,충청북도 옥천군 군서면 장령산로 454-6,2024-08-08
32,숙박업(일반),그랜드무인호텔,충청북도 옥천군 옥천읍 성왕로 1440,2024-08-08
33,목욕장업,일봉목욕탕,충청북도 옥천군 옥천읍 금장로 56,2024-08-08
34,목욕장업,대호장목욕탕,충청북도 옥천군 옥천읍 금장로 38,2024-08-08
35,목욕장업,옥천호텔 남사우나,충청북도 옥천군 옥천읍 옥천로 1553,2024-08-08
36,목욕장업,옥천호텔(여자사우나),충청북도 옥천군 옥천읍 옥천로 1553,2024-08-08
37,목욕장업,한울사우나,충청북도 옥천군 옥천읍 향수1길 34-8,2024-08-08
38,이용업,제일이용원,충청북도 옥천군 옥천읍 중앙로 34,2024-08-08
39,이용업,중앙이용원,충청북도 옥천군 옥천읍 삼금로 50,2024-08-08
40,이용업,화신이발관,충청북도 옥천군 이원면 묘목로 130,2024-08-08
41,이용업,돼지이용원,충청북도 옥천군 옥천읍 신기5길 17,2024-08-08
42,이용업,금성이발관,충청북도 옥천군 옥천읍 금장로 63-1,2024-08-08
43,이용업,평촌이용원,충청북도 옥천군 동이면 평산길 38,2024-08-08
44,이용업,중앙이발관,충청북도 옥천군 군서면 동평4길 2-2,2024-08-08
45,이용업,문화이발관,충청북도 옥천군 옥천읍 삼양로8길 5,2024-08-08
46,이용업,태양이발관,충청북도 옥천군 옥천읍 삼양로 58-1,2024-08-08
47,이용업,조일이발관,충청북도 옥천군 안남면 연주1길 2,2024-08-08
48,이용업,바다이용원,충청북도 옥천군 옥천읍 향수3길 30,2024-08-08
49,이용업,고향이발관,충청북도 옥천군 옥천읍 성암2길 50,2024-08-08
50,이용업,공주이용원,충청북도 옥천군 군북면 옥천로 1122-1,2024-08-08
51,이용업,형제이발관,충청북도 옥천군 옥천읍 중앙로 77,2024-08-08
52,이용업,대전이발관,충청북도 옥천군 옥천읍 중앙로 13,2024-08-08
53,이용업,옥천휴게소이용원,충청북도 옥천군 옥천읍 서대구일로 265-19,2024-08-08
54,이용업,옥천현준이용원,충청북도 옥천군 옥천읍 옥천로 1553,2024-08-08
