의료기관명,종별,병상수,소재지도로명주소,전화번호,데이터기준일자
정읍한국병원,병원,220,"전라북도 정읍시 서부산업도로 425-12, 1동 (농소동,한국병원)",063-701-8000,2022-12-13
의료법인성은의료재단참조은병원,병원,126,전라북도 정읍시 새암길 29-11 (수성동),063-538-9730,2022-12-13
정읍박병원,병원,62,전라북도 정읍시 충정로 324-1 (연지동),063-533-7800,2022-12-13
정읍사랑병원,병원,162,전라북도 정읍시 상동중앙로 94 (상동),063-530-3100,2022-12-13
정읍성신병원,병원,99,전라북도 정읍시 충정로 344-5 (연지동),063-535-0205,2022-12-13
샘고을요양병원,요양병원(일반요양병원),226,전라북도 정읍시 정읍북로 42-3 (구룡동),063-700-7000,2022-12-13
한서요양병원,요양병원(일반요양병원),456,전라북도 정읍시 월천안길 14 (하모동),063-570-7000,2022-12-13
정다운요양병원,요양병원(일반요양병원),256,전라북도 정읍시 관통로 27 (시기동),063-538-1012,2022-12-13
정읍시립요양병원,요양병원(일반요양병원),158,전라북도 정읍시 금붕1길 160-15 (금붕동),063-531-0075,2022-12-13
재단법인 아산사회복지재단 정읍아산병원,종합병원,278,전라북도 정읍시 충정로 606-22 (용계동),063-530-6000,2022-12-13
의료법인 한국필의료재단 필한방병원,한방병원,30,전라북도 정읍시 북면 정읍북로 508,063-538-0321,2022-12-13
고은미래의원,의원,0,"전라북도 정읍시 중앙로 38, 3층 (연지동)",063-533-7300,2022-12-13
정읍속편한내과의원,의원,0,"전라북도 정읍시 충정로 99, 201호 (상동)",063-531-1100,2022-12-13
서울바른마취통증의학과의원,의원,0,전라북도 정읍시 우암로 33 (수성동),063-531-7501,2022-12-13
새봄의원,의원,0,전라북도 정읍시 초산로 80 (수성동),063-535-7599,2022-12-13
정읍바른재활의학과의원,의원,0,전라북도 정읍시 충정로 70 (상동),063-535-7588,2022-12-13
김형욱정신건강의학과의원,의원,0,"전라북도 정읍시 남북로 34, 201호 (수성동)",063-535-7776,2022-12-13
스마일안과의원,의원,0,"전라북도 정읍시 중앙로 38, 2층 (연지동)",063-531-8275,2022-12-13
아나파신경과의원,의원,1,"전라북도 정읍시 우암로 15-1, 2~3층 (시기동)",063-927-8114,2022-12-13
우리들정형외과의원,의원,29,"전라북도 정읍시 중앙로 23, 1~4층 (연지동)",063-531-8000,2022-12-13
유일신경외과의원,의원,0,"전라북도 정읍시 중앙로 145-7, 2층 (수성동)",063-537-4488,2022-12-13
봄피부과의원,의원,0,"전라북도 정읍시 남북로 34, 3층 (수성동)",063-534-7100,2022-12-13
한림마취통증의학과의원,의원,0,"전라북도 정읍시 중앙로 26, 한림통증의학과의원 1층 (연지동)",063-538-7582,2022-12-13
우리의원,의원,0,전라북도 정읍시 신태인읍 정신로  1143-1,063-571-0845,2022-12-13
튼튼소아청소년과의원,의원,0,전라북도 정읍시  학산로  117-16 (상동),063-531-3331,2022-12-13
튼튼마취통증의학과의원,의원,0,전라북도 정읍시 중앙로 32 (연지동),063-532-7578,2022-12-13
삼성연합정형외과의원,의원,29,전라북도 정읍시 남북로 42 (수성동),063-530-0119,2022-12-13
정읍 항도외과의원,의원,5,"전라북도 정읍시 중앙로 33, 3층 (연지동)",063-532-9200,2022-12-13
팔팔연합의원,의원,0,전라북도 정읍시 우암로 11-1 (시기동),063-535-8835,2022-12-13
정읍호반정형외과의원,의원,0,전라북도 정읍시 중앙로 24 (연지동),063-537-1027,2022-12-13
지구촌내과의원,의원,0,전라북도 정읍시 남북로 24-3 (시기동),063-532-5320,2022-12-13
녹두의원,의원,0,전라북도 정읍시 초산로 43-1 (시기동),063-535-1575,2022-12-13
신성희산부인과의원,의원,0,전라북도 정읍시 중앙로 160 (시기동),063-531-9997,2022-12-13
유정형외과의원,의원,0,전라북도 정읍시 우암로 16-1 (시기동),063-538-0088,2022-12-13
수내과의원,의원,0,전라북도 정읍시 중앙로 94-2 (연지동),063-537-4500,2022-12-13
용한연합의원,의원,0,전라북도 정읍시 입암면 정읍남로 514,063-532-0129,2022-12-13
