연도,시도,남자 암발생자수(명),여자 암발생자수(명)
2016,전국 Whole country,120068,109112
2016,서울 Seoul,21922,20930
2016,부산 Busan,9215,8343
2016,대구 Daegu,5753,5604
2016,인천 Incheon,6068,5856
2016,광주 Gwangju,2949,2834
2016,대전 Daejeon,3258,3095
2016,울산 Ulsan,2442,2291
2016,세종 Sejong,431,367
2016,경기 Gyeonggi,25319,24229
2016,강원 Gangwon,4334,3292
2016,충북 Chungbuk,4201,3473
2016,충남 Chungnam,5764,4609
2016,전북 Jeonbuk,5249,4476
2016,전남 Jeonnam,5879,4742
2016,경북 Gyeongbuk,7675,6301
2016,경남 Gyeongnam,8161,7444
2016,제주 Jeju,1445,1211
2016,주소 모름 Unknown,3,15
2017,전국 Whole country,122292,109963
2017,서울 Seoul,22519,20888
2017,부산 Busan,9239,8305
2017,대구 Daegu,5802,5429
2017,인천 Incheon,6358,5997
2017,광주 Gwangju,2805,2878
2017,대전 Daejeon,3086,3000
2017,울산 Ulsan,2352,2290
2017,세종 Sejong,492,449
2017,경기 Gyeonggi,26440,24978
2017,강원 Gangwon,4329,3353
2017,충북 Chungbuk,4174,3413
2017,충남 Chungnam,5675,4779
2017,전북 Jeonbuk,5178,4373
2017,전남 Jeonnam,5803,4667
2017,경북 Gyeongbuk,8037,6433
2017,경남 Gyeongnam,8480,7466
2017,제주 Jeju,1487,1238
2017,주소 모름 Unknown,36,27
2018,전국 Whole country,128757,115080
2018,서울 Seoul,23578,21942
2018,부산 Busan,9913,8793
2018,대구 Daegu,6089,5730
2018,인천 Incheon,6525,6214
2018,광주 Gwangju,3145,2955
2018,대전 Daejeon,3345,3065
2018,울산 Ulsan,2517,2363
2018,세종 Sejong,538,559
2018,경기 Gyeonggi,28046,26407
2018,강원 Gangwon,4676,3589
2018,충북 Chungbuk,4380,3639
2018,충남 Chungnam,5970,4868
2018,전북 Jeonbuk,5375,4710
2018,전남 Jeonnam,6012,4623
2018,경북 Gyeongbuk,8140,6621
2018,경남 Gyeongnam,8857,7700
2018,제주 Jeju,1605,1266
2018,주소 모름 Unknown,46,36
2019,전국 Whole country,134180,120538
2019,서울 Seoul,24426,22869
2019,부산 Busan,10209,9098
2019,대구 Daegu,6197,5959
2019,인천 Incheon,6743,6446
2019,광주 Gwangju,3229,3093
2019,대전 Daejeon,3510,3192
2019,울산 Ulsan,2607,2387
2019,세종 Sejong,636,592
2019,경기 Gyeonggi,29791,28199
2019,강원 Gangwon,4714,3751
2019,충북 Chungbuk,4423,3751
2019,충남 Chungnam,6297,5212
2019,전북 Jeonbuk,5710,4905
2019,전남 Jeonnam,6420,4848
2019,경북 Gyeongbuk,8422,6988
2019,경남 Gyeongnam,9121,7879
2019,제주 Jeju,1720,1339
2019,주소 모름 Unknown,5,30
2020,전국 Whole country,130618,117334
2020,서울 Seoul,23959,22272
2020,부산 Busan,9760,8846
2020,대구 Daegu,6037,5515
2020,인천 Incheon,6745,6488
2020,광주 Gwangju,3299,3104
2020,대전 Daejeon,3365,3152
2020,울산 Ulsan,2580,2425
2020,세종 Sejong,666,748
2020,경기 Gyeonggi,29466,27720
2020,강원 Gangwon,4594,3653
2020,충북 Chungbuk,4304,3580
2020,충남 Chungnam,5829,4788
2020,전북 Jeonbuk,5493,4800
2020,전남 Jeonnam,5892,4610
2020,경북 Gyeongbuk,8058,6595
2020,경남 Gyeongnam,8913,7671
2020,제주 Jeju,1650,1355
2020,주소 모름 Unknown,8,12
