순번,업체명,소재지 주소,전화번호
1,노블클린,"부산광역시 동래구 온천천로519번길 22, 1층 (안락동)",
2,엔페스(NPES),"부산광역시 동래구 충렬대로86번길 90, 지하1층 (온천동)",
3,시티앤로컬,부산광역시 동래구 충렬대로433번길 34 (안락동),
4,브라더 클린앤케어,"부산광역시 동래구 석사북로 3-1, 2층 (사직동)",1899-8798
5,태영방역,"부산광역시 동래구 온천천로253번길 8(수안동, 수안시장)",
6,사회적경제유통사회적협동조합,"부산광역시 동래구 충렬대로237번길 28, 3층 310호 (수안동)",
7,에프엠시스템,"부산광역시 동래구 명안로18번길 98, 지하층 (안락동)",051-525-5468
8,청춘클린,"부산광역시 동래구 아시아드대로181번길 12, 301호 (사직동)",1855-1868
9,대세환경산업,"부산광역시 동래구 여고로 66, 403호 (사직동)",051-502-1369
10,(주)하이엔드시스템,"부산광역시 동래구 충렬사로 39 (안락동, 동래화목타운)",
11,거성안전물산,부산광역시 동래구 여고로113번길 5-2 (사직동),
12,(주)천정종합관리,"부산광역시 동래구 충렬대로 241, 3층 (수안동)",051-502-9996
13,(주)그린케어환경,"부산광역시 동래구 명안로46번길 10, 101호 (안락동, 한진상가빌라)",
14,(주)산수,"부산광역시 동래구 사직북로48번길 127, KT미남지점 2층 (온천동)",
15,큐브코리아,"부산광역시 동래구 금강로62번길 15-4 (온천동, 명선미르빌)",051-646-5454
16,대한방역 다자바,부산광역시 동래구 명안로 45 (안락동),051-203-6969
17,우리나라 블루존,"부산광역시 동래구 중앙대로1285번길 32, 2층 (사직동)",051-557-7478
18,푸푸크린시스템,부산광역시 동래구 연안로52번길 99-3 (안락동),1600-6343
19,엑스텀,"부산광역시 동래구 복천로 6, 3층 (복천동)",051-952-1218
20,협동조합 리본,"부산광역시 동래구 연안로52번길 67, 4층 (안락동)",051-528-1007
21,방구방역,"부산광역시 동래구 사직북로 45, 지하층 (사직동)",
22,헬로클린데이,부산광역시 동래구 명륜로112번길 105 (칠산동),051-556-2330
23,때재크린,"부산광역시 동래구 시실로 20, 세명빌딩 3층 (명륜동)",051-557-2666
24,홍크린,"부산광역시 동래구 반송로354번길 8, 1층 (명장동)",051-529-8078
25,새롬방역공사,"부산광역시 동래구 반송로250번길 6, 3층 (안락동)",051-929-1671
26,해동방역공사,"부산광역시 동래구 충렬사로 20, 2층 (안락동)",051-742-9523
27,크리스탈 방역,"부산광역시 동래구 충렬대로237번길 132, 2층 (명륜동)",070-4384-0111
28,(사)부산광역시장애인복지연합회,"부산광역시 동래구 안남로 23, 3층 303호 (낙민동, 보림프라자)",051-531-2344
29,고리시스템즈,"부산광역시 동래구 연안로52번길 81, 2층 (안락동)",051-558-4800
30,하나방역 본사(pest119),부산광역시 동래구 충렬대로182번길 15 (명륜동),051-553-8852
31,주식회사 좋은개발,"부산광역시 동래구 아시아드대로255번가길 8-9, 상가동 301호 (온천동, 한사랑아파트)",051-554-5775
32,EM차단방역센터(부산총판),부산광역시 동래구 명안로10번길 41-47791 (안락동),051-521-5551
33,대한방역,부산광역시 동래구 명안로18번길 90 (안락동),051-529-5012
34,뉴이엠방역,부산광역시 동래구 명륜로75번길 31 (수안동),051-552-1253
35,주식회사 케이비시스템,부산광역시 동래구  충렬대로237번길  66 (복천동),
36,주식회사 동래클린케어,"부산광역시 동래구 아시아드대로171번길 19, 1층 (사직동)",051-504-9924
37,주식회사 서광티에스,"부산광역시 동래구 우장춘로4번길 38 (온천동, 해광빌딩 305호)",051-515-7484
38,해피콤,부산광역시 동래구 명안로18번길 11 (안락동),051-528-0172
39,주식회사 에코유,"부산광역시 동래구 충렬대로218번길 63, 2층 (수안동)",051-554-9803
40,유정개발 주식회사,부산광역시 동래구 쇠미로217번길 58 (온천동),051-503-1547
41,알프스방역,"부산광역시 동래구 복천로123번길 6, 1층 (명장동)",1599-9881
42,아신실업,부산광역시 동래구 아시아드대로126번길 66 (사직동),051-501-5659
43,자연애,부산광역시 동래구 충렬대로202번가길 3 (수안동),070-8692-9751
44,에코유비전,"부산광역시 동래구 금강공원로20번길 68, 3층 (온천동)",051-553-2172
45,(주)창성티엔씨,부산광역시 동래구 충렬대로321번길 7-3 (안락동),051-784-4600
46,(주)성호,"부산광역시 동래구 미남로 86, 302호 (온천동)",051-502-1282
47,(주)휴먼플러스,부산광역시 동래구 충렬대로 402 (안락동),051-464-3192
48,해충코리아,부산광역시 동래구 쇠미로31번길 7 (사직동),051-556-8727
49,지오클린서비스(주),부산광역시 동래구 중앙대로1277번길 58 (사직동),051-727-8896
50,(주) 지우환경,부산광역시 동래구 명안로46번길 10 (안락동),051-909-9133
51,(주)태영종합개발,"부산광역시 동래구 사직북로28번길 159, 2층 (온천동)",051-502-3002
52,태영개발주식회사,부산광역시 동래구 석사북로 87 (온천동),051-506-1757
53,(주)현대용역,"부산광역시 동래구 쇠미로217번길 48, (주)현대용역 (온천동)",051-851-0950
54,주식회사 비앤비서비스,"부산광역시 동래구 명륜로 47, 2층 (수안동)",051-558-3717
55,(주)디즈텍,부산광역시 동래구 충렬대로237번길 66 (복천동),
56,시온환경개발,부산광역시 동래구 아시아드대로207번길 7 (온천동),051-504-2955
57,늘푸른환경,부산광역시 동래구 명안로46번길 10 (안락동),051-531-0655
58,세왕기업,부산광역시 동래구 명륜로94번길 14 (수안동),051-552-4296
59,(주)대성실업,부산광역시 동래구 낙민로 14 (낙민동),051-556-8400
60,(주)월드지엠에스,부산광역시 동래구 충렬대로 211 (명륜동),051-555-0633
