발생연도,성별,국제질병분류,암종,연령군,발생자수,조발생률
1999,남녀전체,00. All cancers,모든암,00-04세,539,16.1
1999,남녀전체,00. All cancers,모든암,05-09세,297,8.6
1999,남녀전체,00. All cancers,모든암,10-14세,306,9.6
1999,남녀전체,00. All cancers,모든암,15-19세,528,13.2
1999,남녀전체,00. All cancers,모든암,20-24세,719,18.3
1999,남녀전체,00. All cancers,모든암,25-29세,1539,33.5
1999,남녀전체,00. All cancers,모든암,30-34세,2680,60.7
1999,남녀전체,00. All cancers,모든암,35-39세,4962,110.8
1999,남녀전체,00. All cancers,모든암,40-44세,7011,181.4
1999,남녀전체,00. All cancers,모든암,45-49세,7531,278.8
1999,남녀전체,00. All cancers,모든암,50-54세,9310,419.6
1999,남녀전체,00. All cancers,모든암,55-59세,12861,607.5
1999,남녀전체,00. All cancers,모든암,60-64세,14675,841.6
1999,남녀전체,00. All cancers,모든암,65-69세,13161,1077.8
1999,남녀전체,00. All cancers,모든암,70-74세,11142,1331.6
1999,남녀전체,00. All cancers,모든암,75-79세,8575,1509.2
1999,남녀전체,00. All cancers,모든암,80-84세,4121,1388.1
1999,남녀전체,00. All cancers,모든암,85세이상,1900,1051.8
1999,남녀전체,00. All cancers,모든암,연령전체,101857,216.0
1999,남자,00. All cancers,모든암,00-04세,324,18.4
1999,남자,00. All cancers,모든암,05-09세,165,8.9
1999,남자,00. All cancers,모든암,10-14세,165,9.9
1999,남자,00. All cancers,모든암,15-19세,273,13.2
1999,남자,00. All cancers,모든암,20-24세,282,14.0
1999,남자,00. All cancers,모든암,25-29세,571,24.3
1999,남자,00. All cancers,모든암,30-34세,899,39.9
1999,남자,00. All cancers,모든암,35-39세,1934,84.2
1999,남자,00. All cancers,모든암,40-44세,3058,154.6
1999,남자,00. All cancers,모든암,45-49세,3909,284.5
1999,남자,00. All cancers,모든암,50-54세,5507,494.8
1999,남자,00. All cancers,모든암,55-59세,8121,795.7
1999,남자,00. All cancers,모든암,60-64세,9726,1214.0
1999,남자,00. All cancers,모든암,65-69세,8344,1663.8
1999,남자,00. All cancers,모든암,70-74세,6689,2133.4
1999,남자,00. All cancers,모든암,75-79세,4927,2451.2
1999,남자,00. All cancers,모든암,80-84세,2188,2422.3
1999,남자,00. All cancers,모든암,85세이상,809,1949.7
1999,남자,00. All cancers,모든암,연령전체,57891,244.5
1999,여자,00. All cancers,모든암,00-04세,215,13.6
1999,여자,00. All cancers,모든암,05-09세,132,8.1
1999,여자,00. All cancers,모든암,10-14세,141,9.3
1999,여자,00. All cancers,모든암,15-19세,255,13.1
1999,여자,00. All cancers,모든암,20-24세,437,22.8
1999,여자,00. All cancers,모든암,25-29세,968,43.1
1999,여자,00. All cancers,모든암,30-34세,1781,82.5
1999,여자,00. All cancers,모든암,35-39세,3028,138.8
1999,여자,00. All cancers,모든암,40-44세,3953,209.5
