순번,의료기관명,의료기관종별,수술실 유무,수술실 수,데이터 기준일자
1,든든한의원,한의원,무,0,2024-05-31
2,칠곡중앙한의원,한의원,무,0,2024-05-31
3,아라소아청소년과의원,의원,무,0,2024-05-31
4,에스본정형외과의원,의원,무,0,2024-05-31
5,도남민정형외과의원,의원,무,0,2024-05-31
6,복현라온치과의원,치과의원,무,0,2024-05-31
7,스마일365한의원,한의원,무,0,2024-05-31
8,건강한연합소아청소년과의원,의원,무,0,2024-05-31
9,빌리브의원,의원,무,0,2024-05-31
10,서변다온치과의원,치과의원,무,0,2024-05-31
11,바른손치과의원,치과의원,무,0,2024-05-31
12,나비치과의원,치과의원,무,0,2024-05-31
13,도남365한의원,한의원,무,0,2024-05-31
14,서울다나운내과의원,의원,무,0,2024-05-31
15,경대숨이비인후과의원,의원,유,1,2024-05-31
16,마음행복정신건강의학과의원,의원,무,0,2024-05-31
17,더원플란트치과의원,치과의원,무,0,2024-05-31
18,제이이비인후과의원,의원,유,1,2024-05-31
19,온유한의원,한의원,무,0,2024-05-31
20,대구탑내과의원,의원,무,0,2024-05-31
21,부경에스치과의원,치과의원,무,0,2024-05-31
22,바른우리치과의원,치과의원,무,0,2024-05-31
23,용한의원,한의원,무,0,2024-05-31
24,연경손길한의원,한의원,무,0,2024-05-31
25,바로치과의원,치과의원,무,0,2024-05-31
26,브이웰마취통증의학과의원,의원,무,0,2024-05-31
27,마리엘산부인과의원,의원,무,0,2024-05-31
28,도남연세치과의원,치과의원,무,0,2024-05-31
29,아이케어안과의원,의원,무,0,2024-05-31
30,복현베스트내과의원,의원,무,0,2024-05-31
31,아이온안과의원,의원,무,0,2024-05-31
32,칠성보강정형외과의원,의원,무,0,2024-05-31
33,이웃집한의원,한의원,무,0,2024-05-31
34,청담류의원,의원,무,0,2024-05-31
35,영진한의원,한의원,무,0,2024-05-31
36,혜윰한의원,한의원,무,0,2024-05-31
37,다온정형외과의원,의원,무,0,2024-05-31
38,서울태365한의원,한의원,무,0,2024-05-31
39,더참본정형외과의원,의원,무,0,2024-05-31
40,올디플란트치과의원,치과의원,무,0,2024-05-31
41,봄날에치과의원,치과의원,무,0,2024-05-31
42,거송한의원,한의원,무,0,2024-05-31
43,리브원치과의원,치과의원,무,0,2024-05-31
44,바올한의원,한의원,무,0,2024-05-31
45,힘찬나무신경외과의원,의원,무,0,2024-05-31
46,바른의원,의원,무,0,2024-05-31
47,스토리치과의원,치과의원,무,0,2024-05-31
48,칠곡스마일치과교정과치과의원,치과의원,무,0,2024-05-31
49,다봄치과의원,치과의원,무,0,2024-05-31
50,태전제통의원,의원,무,0,2024-05-31
51,원대탑치과의원,치과의원,무,0,2024-05-31
52,더나은365한의원,한의원,무,0,2024-05-31
53,이편한한의원,한의원,무,0,2024-05-31
54,칠곡본한의원,한의원,무,0,2024-05-31
55,칠곡레오치과의원,치과의원,무,0,2024-05-31
56,홍주철신경외과의원,의원,무,0,2024-05-31
57,복현정형외과의원,의원,무,0,2024-05-31
58,흰사슴한의원,한의원,무,0,2024-05-31
59,예일산부인과여성의원,의원,무,0,2024-05-31
60,퍼스트이비인후과의원,의원,무,0,2024-05-31
61,더퍼스트피부과의원,의원,무,0,2024-05-31
62,라온치과의원,치과의원,무,0,2024-05-31
63,이클린치과의원,치과의원,무,0,2024-05-31
64,록원한의원,한의원,무,0,2024-05-31
65,365강추한의원,한의원,무,0,2024-05-31
66,서울림치과의원,치과의원,무,0,2024-05-31
67,소원한의원,한의원,무,0,2024-05-31
68,연경바른내과의원,의원,무,0,2024-05-31
69,신세계한의원,한의원,무,0,2024-05-31
70,감송한의원,한의원,무,0,2024-05-31
71,봄빛연합소아청소년과의원,의원,무,0,2024-05-31
72,류마척제통내과의원,의원,무,0,2024-05-31
73,연경에스치과의원,치과의원,무,0,2024-05-31
74,라라유외과의원,의원,무,0,2024-05-31
75,연경연합이비인후과의원,의원,무,0,2024-05-31
76,온아한의원,한의원,무,0,2024-05-31
77,침산한의원,한의원,무,0,2024-05-31
78,경대에스비뇨의학과의원,의원,유,1,2024-05-31
79,참든든한마취통증의학과의원,의원,무,0,2024-05-31
80,침산이튼튼치과의원,치과의원,무,0,2024-05-31
81,꿈키우다 소아청소년과 봄이비인후과 연합의원,의원,무,0,2024-05-31
82,지음치과의원,치과의원,무,0,2024-05-31
83,더바른한의원,한의원,무,0,2024-05-31
84,강남정신건강의학과의원,의원,무,0,2024-05-31
85,든든한배연합내과의원,의원,무,0,2024-05-31
86,다바른치과의원,치과의원,무,0,2024-05-31
87,칠곡속내과의원,의원,무,0,2024-05-31
88,새별소아청소년과의원,의원,무,0,2024-05-31
89,경대속사랑내과의원,의원,무,0,2024-05-31
90,경희정수한의원,한의원,무,0,2024-05-31
91,김지은정신건강의학과의원,의원,무,0,2024-05-31
92,배동렬한의원,한의원,무,0,2024-05-31
