물품명,규격명,구입단가,구입일자,기능,확보기관,비고
엑스레이발생기,엑스선발생장치  Precision x-ray  US/X-RAD 320  320kV  45mA,3060000,2010-06-09,구강보건실-치과진료용,보건소,건강증진과 치과진료실
탁상형원심분리기,탁상형원심분리기  Kubota  JP/4000  5800rpm,5940000,2008-04-28,임상병리검사용,보건소,보건행정과
강제순환식또는기계대류식범용배양기,일반강제대류배양기  한백과학  HB-101L,2376000,2009-06-17,임상병리실,보건소,보건행정과 임상병리실
실체현미경,실체현미경  Olympus optical  JP/CH-2,1650000,1990-12-28,임상병리실,보건소,보건행정과 임상병리실
형광현미경,형광현미경  Olympus  JP/BX51T,22000000,2001-11-05,임상병리실,보건소,보건행정과 임상병리실
멀티미디어영상현미경,멀티미디어영상현미경  Boyalok visiontech  CN/SmokerView,1038000,2010-04-30,금연클리닉상담용,보건소,금연클리닉
의료용분리방식임상화학자동분석장치,의료용분리방식임상화학자동분석장치  Beckman Coulter  JP/AU480  400test/h,73828000,2012-03-30,임상병리실- 생화학검사,보건소,보건행정과 임상병리실
의료용분광광도계,의료용분광광도계  Cholestech  US/LDX,6000000,2005-01-18,임상병리실- 생화학검사,보건소,보건행정과 임상병리실
의료용면역형광측정장치,의료용면역형광측정장치  bioMerieux Italia s.p.a  IT/VIDAS PC BLUE  90test/h,70532900,2009-05-14,임상병리실,보건소,보건행정과 임상병리실
자동염색기구,자동염색기구  다가전자  AT-2000Z  세균자동염색기,20672000,2012-03-30,임상병리검사용,보건소,보건행정과 임상병리실
세균분류동정장치,세균분류동정장치  다가  AT-3002,21100000,2016-05-26,임상병리실 - 감염병 환자 검사,보건소,보건행정과 임상병리실
심미치과용광중합기또는액세서리,치과용가시광선중합기,1650000,2004-09-15,구강보건실-치아홈메우기,보건소,건강증진과 치과진료실
심미치과용광중합기또는액세서리,치과용가시광선중합기,400000,2015-12-18,구강보건 이동진료차량 치과의료장비,보건소,건강증진과 구강보건이동진료차량
심미치과용광중합기또는액세서리,치과용가시광선중합기,1356572,2015-06-01,구강보건 이동진료차량 치과의료장비,보건소,보건소 건강증진과(치과실)
심미치과용광중합기또는액세서리,치과용가시광선중합기,400000,2015-12-18,구강보건 이동진료차량 치과의료장비,보건소,건강증진과 구강보건이동진료차량
심미치과용광중합기또는액세서리,치과용가시광선중합기,1482000,2015-12-18,구강보건 이동진료차량 치과의료장비,보건소,건강증진과 구강보건이동진료차량
심미치과용광중합기또는액세서리,치과용가시광선중합기  광중합기,1100000,2008-09-30,구강보건실- 학교구강 보건실 폐지에 따른 전환(2016.07.27.),보건소,건강증진과 치과진료실
치과용아말감성형기,치과용아말감성형기  Hu-friedy  US/ROACH(CVROA),1480000,2015-12-18,구강보건 이동진료차량 치과의료장비,보건소,건강증진과 구강보건이동진료차량
치과용아말감성형기,치과용아말감성형기  Hu-friedy  US/ROACH(CVROA),3510000,2015-12-18,구강보건 이동진료차량 치과의료장비,보건소,건강증진과 구강보건이동진료차량
치과용아말감성형기,치과용아말감성형기  Hu-friedy  US/ROACH(CVROA),3660000,2015-12-18,구강보건 이동진료차량 치과의료장비,보건소,건강증진과 구강보건이동진료차량
치과용테이블또는액세서리,치과용진료장치및의자  신흥  Taurus Sante C/S  유압전동,17190000,2015-12-18,구강보건 이동진료차량 치과의료장비,보건소,건강증진과 구강보건이동진료차량
치과용테이블또는액세서리,치과용진료장치및의자  신흥  Taurus Sante O/S  유압전동,16657620,2013-05-24,치과진료,보건소,보건소 건강증진과(치과실)
치과용테이블또는액세서리,치과용진료장치및의자  신흥  Taurus O/S  유압전동,14000000,2008-10-15,치과진료,보건소,건강증진과 치과진료실
치과용테이블또는액세서리,치과용진료장치및의자  한림덴텍  Grasia plus  유압전동,12500000,2004-09-15,치과진료,보건소,건강증진과 치과진료실
체성분분석기,체지방측정기  파닉스  FA-600  ADC측정회로및광학센서,3200000,1998-12-26,건강검진실,보건소,건강증진과
체성분분석기,체지방측정기  인바디  InBody520,12500000,2005-07-18,건강증진센타 주민검사용,보건소,건강증진과
"디지털진단용엑스선촬영장치,의료영상기록용컴퓨터장치(PACS)","디지털X선촬영장치  선진메디칼  GMSR-14 일반촬영용, 의료영상저장전송장치  인피니트테크놀로지  INFINITT PACS","125,250,000",2021-08-01,방사선실 운영,보건소,보건행정과 방사선실
의료용방사선필름판독기,의료용필름판독장치  Planilux  DE/DE-DENTAL 48x30cm  치과용,6300000,2010-06-09,치과진료용,보건소,보건소 치과 진료실
