파일명,컬럼명,null 수,범주값 길이(고정/가변),상이값 수,유일값 수,최빈값(mode),값 중복도 평균,최댓값,최솟값,평균(mean),중앙값(median),1분위수(1Q),3분위수(3Q),IQR,분산(variance),표준편차(standard deviation),범위(range),왜도(skewness),첨도(kurtosis),대분류,소분류
79_광주광역시_보건환경연구원 식품중 방사능 검사 현황_20231231.csv,연번,0,,429,429,1,1.0,429.0,1.0,215.0,215.0,108.0,322.0,214.0,15372.5,123.98588629356163,428.0,0.0,-1.2,식품건강,식품의약안전
80_광주광역시_보건환경연구원 지하수 노로바이러스 검사 현황_20231220.csv,연번,0,,20,20,1,1.0,20.0,1.0,10.5,10.5,5.75,15.25,9.5,35.0,5.916079783099616,19.0,0.0,-1.2,식품건강,식품의약안전
81_충청남도 당진시_담배소매인_20240701.csv,연번,0,,706,706,1,1.0,706.0,1.0,353.5,353.5,177.25,529.75,352.5,41595.16666666666,203.94893151636435,705.0,0.0,-1.2,식품건강,식품의약안전
82_한국의약품안전관리원_연도별증상별 이상사례보고현황_20231231.csv,순위,0,,10,10,1,1.0,10.0,1.0,5.5,5.5,3.25,7.75,4.5,9.166666666666666,3.027650354097492,9.0,0.0,-1.2,식품건강,식품의약안전
82_한국의약품안전관리원_연도별증상별 이상사례보고현황_20231231.csv,연도별보고건수(2023),0,,10,10,4721,1.0,39916.0,4721.0,17620.4,17361.5,8109.5,22652.75,14543.25,124822053.59999998,11172.379048349549,35195.0,0.8254611617481269,0.2016164929263686,식품건강,식품의약안전
82_한국의약품안전관리원_연도별증상별 이상사례보고현황_20231231.csv,연도별보고건수(2022),0,,10,10,9438,1.0,46883.0,9438.0,24026.8,21898.0,18538.75,28568.25,10029.5,106547492.4,10322.18447810346,37445.0,1.0464220468368617,1.972184086593869,식품건강,식품의약안전
82_한국의약품안전관리원_연도별증상별 이상사례보고현황_20231231.csv,연도별보고건수(2021),0,,10,10,32900,1.0,108789.0,32900.0,61535.1,45307.0,38091.5,85347.75,47256.25,872369253.0,29535.897700745256,75889.0,0.6438513251400033,-1.53363728,식품건강,식품의약안전
82_한국의약품안전관리원_연도별증상별 이상사례보고현황_20231231.csv,연도별보고건수(2020),0,,10,10,5926,1.0,41758.0,5926.0,16749.1,16511.5,6368.25,19634.0,13265.75,136163421.65555555,11668.908331783035,35832.0,1.1088121868453076,1.057302503175574,식품건강,식품의약안전
82_한국의약품안전관리원_연도별증상별 이상사례보고현황_20231231.csv,연도별보고건수(2019),0,,10,10,5205,1.0,42089.0,5205.0,17100.5,17480.0,6947.25,20499.5,13552.25,134400296.5,11593.114184721897,36884.0,1.053242191492939,1.1558040136964758,식품건강,식품의약안전
84_충청북도 옥천군_공중위생업소현황_20240808.csv,연번,0,,208,208,1,1.0,208.0,1.0,104.5,104.5,52.75,156.25,103.5,3622.6666666666665,60.18859249614221,207.0,0.0,-1.2,식품건강,식품의약안전
85_전라북도 정읍시_의료기관 현황_20221213.csv,병상수,0,,21,21,0,6.9523809523809526,456.0,0.0,15.63013698630137,0.0,0.0,0.0,0.0,3453.724327,58.76839564662005,456.0,4.918985715599297,27.347494858284584,식품건강,식품의약안전
87_부산광역시 동래구_소독업소 현황_20231213.csv,순번,0,,66,66,1,1.0,66.0,1.0,33.5,33.5,17.25,49.75,32.5,368.5,19.196353820452465,65.0,0.0,-1.2,식품건강,식품의약안전
88_한국의약품안전관리원_노인주의약물_20240813.csv,제품코드,0,,593,593,51700030,1.0,698502970.0,51700030.0,629038828.6408094,650303800.0,643308800.0,657200890.0,13892090.0,1.3706307866258514e+16,117073941.87545969,646802940.0,-4.575699588,19.36310375003313,식품건강,식품의약안전
88_한국의약품안전관리원_노인주의약물_20240813.csv,공고번호,0,,6,6,20210248,98.83333333333331,20220251.0,20155515.0,20203434.403035413,20210248.0,20200423.0,20210248.0,9825.0,130478082.76127578,11422.700327036326,64736.0,-1.730979942,2.8977367532419027,식품건강,식품의약안전
91_부산광역시_수영구_약국 현황_20240305.csv,순번,0,,100,100,1,1.0,100.0,1.0,50.5,50.5,25.75,75.25,49.5,841.6666666666666,29.011491975882016,99.0,0.0,-1.2,식품건강,식품의약안전
93_인천광역시 서구_유통식품 방사능 수거검사 결과_20240805.csv,연번,0,,66,66,1,1.0,66.0,1.0,33.5,33.5,17.25,49.75,32.5,368.5,19.196353820452465,65.0,0.0,-1.2,식품건강,식품의약안전
93_인천광역시 서구_유통식품 방사능 수거검사 결과_20240805.csv,제품규격(정량),0,,4,4,1,16.5,3.0,1.0,1.2787878787878788,1.0,1.0,1.0,0.0,0.3358508158508157,0.5795263720063271,2.0,1.9608815407439737,2.7555995993562146,식품건강,식품의약안전
93_인천광역시 서구_유통식품 방사능 수거검사 결과_20240805.csv,수거량(정량),0,,4,4,1,16.5,3.0,1.0,1.2787878787878788,1.0,1.0,1.0,0.0,0.3358508158508157,0.5795263720063271,2.0,1.9608815407439737,2.7555995993562146,식품건강,식품의약안전
94_한국의료기기안전정보원_품목코드_20240821.csv,일련번호,0,,733,733,52,1.0,1043.0,52.0,563.6916780354707,600.0,332.0,791.0,459.0,81595.62065469398,285.6494716513475,991.0,-0.107870552,-1.183128148,식품건강,식품의약안전
94_한국의료기기안전정보원_품목코드_20240821.csv,사용여부,0,,2,2,1,366.5,1.0,0.0,0.9986357435197816,1.0,1.0,1.0,0.0,0.001364256,0.036935843,1.0,-27.07397274,732.9999999999992,식품건강,식품의약안전
