fk_table,fk_column,pk_table,pk_column,fk_unique_count,pk_unique_count,matching_unique_count,non_matching_unique_count,fk_match_percentage,pk_match_percentage
actor,actor_id,customer,customer_id,200,599,200,0,100.0,33.3889816360601
actor,actor_id,inventory,inventory_id,200,4581,200,0,100.0,4.365858982754857
actor,actor_id,payment,payment_id,200,16044,200,0,100.0,1.2465719272001994
actor,actor_id,payment,customer_id,200,599,200,0,100.0,33.3889816360601
actor_info,actor_id,customer,customer_id,200,599,200,0,100.0,33.3889816360601
actor_info,actor_id,inventory,inventory_id,200,4581,200,0,100.0,4.365858982754857
actor_info,actor_id,payment,payment_id,200,16044,200,0,100.0,1.2465719272001994
actor_info,actor_id,payment,customer_id,200,599,200,0,100.0,33.3889816360601
address,address_id,inventory,inventory_id,603,4581,603,0,100.0,13.163064833005894
address,address,inventory,inventory_id,603,4581,603,0,100.0,13.163064833005894
address,address,payment,payment_id,603,16044,603,0,100.0,3.758414360508602
address,city_id,inventory,inventory_id,599,4581,599,0,100.0,13.075747653350797
category,category_id,customer,customer_id,16,599,16,0,100.0,2.671118530884808
category,category_id,inventory,inventory_id,16,4581,16,0,100.0,0.34926871862038855
category,category_id,payment,payment_id,16,16044,16,0,100.0,0.09972575417601597
category,category_id,payment,customer_id,16,599,16,0,100.0,2.671118530884808
city,city_id,inventory,inventory_id,600,4581,600,0,100.0,13.097576948264573
city,country_id,customer,customer_id,109,599,109,0,100.0,18.196994991652755
city,country_id,inventory,inventory_id,109,4581,109,0,100.0,2.379393145601397
city,country_id,payment,payment_id,109,16044,109,0,100.0,0.6793817003241087
city,country_id,payment,customer_id,109,599,109,0,100.0,18.196994991652755
country,country_id,customer,customer_id,109,599,109,0,100.0,18.196994991652755
country,country_id,inventory,inventory_id,109,4581,109,0,100.0,2.379393145601397
country,country_id,payment,payment_id,109,16044,109,0,100.0,0.6793817003241087
country,country_id,payment,customer_id,109,599,109,0,100.0,18.196994991652755
customer,customer_id,inventory,inventory_id,599,4581,599,0,100.0,13.075747653350797
customer,customer_id,payment,customer_id,599,599,599,0,100.0,100.0
customer,store_id,customer,customer_id,2,599,2,0,100.0,0.333889816360601
customer,store_id,inventory,inventory_id,2,4581,2,0,100.0,0.04365858982754857
customer,store_id,payment,payment_id,2,16044,2,0,100.0,0.012465719272001996
customer,store_id,staff,store_id,2,2,2,0,100.0,100.0
customer,store_id,staff,staff_id,2,2,2,0,100.0,100.0
customer,store_id,staff_list,ID,2,2,2,0,100.0,100.0
customer,store_id,staff_list,SID,2,2,2,0,100.0,100.0
customer,store_id,store,store_id,2,2,2,0,100.0,100.0
customer,store_id,store,address_id,2,2,2,0,100.0,100.0
customer,store_id,store,manager_staff_id,2,2,2,0,100.0,100.0
customer,store_id,inventory,film_id,2,958,2,0,100.0,0.20876826722338201
customer,store_id,payment,customer_id,2,599,2,0,100.0,0.333889816360601
customer,address_id,inventory,inventory_id,599,4581,599,0,100.0,13.075747653350797
customer_list,ID,customer,customer_id,599,599,599,0,100.0,100.0
customer_list,ID,inventory,inventory_id,599,4581,599,0,100.0,13.075747653350797
customer_list,ID,payment,customer_id,599,599,599,0,100.0,100.0
customer_list,address,inventory,inventory_id,599,4581,599,0,100.0,13.075747653350797
customer_list,address,payment,payment_id,599,16044,599,0,100.0,3.7334829219645975
customer_list,SID,customer,customer_id,2,599,2,0,100.0,0.333889816360601
customer_list,SID,inventory,inventory_id,2,4581,2,0,100.0,0.04365858982754857
customer_list,SID,payment,payment_id,2,16044,2,0,100.0,0.012465719272001996
customer_list,SID,staff,store_id,2,2,2,0,100.0,100.0
customer_list,SID,staff,staff_id,2,2,2,0,100.0,100.0
customer_list,SID,staff_list,ID,2,2,2,0,100.0,100.0
customer_list,SID,staff_list,SID,2,2,2,0,100.0,100.0
customer_list,SID,store,store_id,2,2,2,0,100.0,100.0
customer_list,SID,store,address_id,2,2,2,0,100.0,100.0
