table,column,total_rows,unique_values,non_null_values,unique_ratio,null_ratio,pk_candidate_score,is_explicit_pk
actor,actor_id,200,200,200,1.0,0.0,1.0,True
actor,first_name,200,128,200,0.64,0.0,0.64,False
actor,last_name,200,121,200,0.605,0.0,0.605,False
actor,last_update,200,2,200,0.01,0.0,0.01,False
actor_info,actor_id,200,200,200,1.0,0.0,1.0,False
actor_info,first_name,200,128,200,0.64,0.0,0.64,False
actor_info,last_name,200,121,200,0.605,0.0,0.605,False
actor_info,film_info,200,200,200,1.0,0.0,1.0,False
address,address_id,603,603,603,1.0,0.0,1.0,True
address,address,603,603,603,1.0,0.0,1.0,False
address,address2,603,1,599,0.001658374792703151,0.006633499170812604,0.0016473739648908581,False
address,district,603,378,603,0.6268656716417911,0.0,0.6268656716417911,False
address,city_id,603,599,603,0.9933665008291874,0.0,0.9933665008291874,False
address,postal_code,603,597,603,0.9900497512437811,0.0,0.9900497512437811,False
address,phone,603,602,603,0.9983416252072969,0.0,0.9983416252072969,False
address,location,603,460,603,0.7628524046434494,0.0,0.7628524046434494,False
address,last_update,603,247,603,0.4096185737976783,0.0,0.4096185737976783,False
category,category_id,16,16,16,1.0,0.0,1.0,True
category,name,16,16,16,1.0,0.0,1.0,False
category,last_update,16,1,16,0.0625,0.0,0.0625,False
city,city_id,600,600,600,1.0,0.0,1.0,True
city,city,600,599,600,0.9983333333333333,0.0,0.9983333333333333,False
city,country_id,600,109,600,0.18166666666666667,0.0,0.18166666666666667,False
city,last_update,600,1,600,0.0016666666666666668,0.0,0.0016666666666666668,False
country,country_id,109,109,109,1.0,0.0,1.0,True
country,country,109,109,109,1.0,0.0,1.0,False
country,last_update,109,1,109,0.009174311926605505,0.0,0.009174311926605505,False
customer,customer_id,599,599,599,1.0,0.0,1.0,True
customer,store_id,599,2,599,0.00333889816360601,0.0,0.00333889816360601,False
customer,first_name,599,591,599,0.986644407345576,0.0,0.986644407345576,False
customer,last_name,599,599,599,1.0,0.0,1.0,False
customer,email,599,599,599,1.0,0.0,1.0,False
customer,address_id,599,599,599,1.0,0.0,1.0,False
customer,active,599,2,599,0.00333889816360601,0.0,0.00333889816360601,False
customer,create_date,599,2,599,0.00333889816360601,0.0,0.00333889816360601,False
customer,last_update,599,1,599,0.001669449081803005,0.0,0.001669449081803005,False
customer_list,ID,599,599,599,1.0,0.0,1.0,False
customer_list,name,599,599,599,1.0,0.0,1.0,False
customer_list,address,599,599,599,1.0,0.0,1.0,False
customer_list,zip code,599,596,599,0.994991652754591,0.0,0.994991652754591,False
customer_list,phone,599,599,599,1.0,0.0,1.0,False
customer_list,city,599,597,599,0.996661101836394,0.0,0.996661101836394,False
customer_list,country,599,108,599,0.18030050083472454,0.0,0.18030050083472454,False
customer_list,notes,599,2,599,0.00333889816360601,0.0,0.00333889816360601,False
customer_list,SID,599,2,599,0.00333889816360601,0.0,0.00333889816360601,False
film,film_id,1000,1000,1000,1.0,0.0,1.0,True
film,title,1000,1000,1000,1.0,0.0,1.0,False
film,description,1000,1000,1000,1.0,0.0,1.0,False
film,release_year,1000,1,1000,0.001,0.0,0.001,False
film,language_id,1000,1,1000,0.001,0.0,0.001,False
film,original_language_id,1000,0,0,0.0,1.0,0.0,False
film,rental_duration,1000,5,1000,0.005,0.0,0.005,False
