table,column
actor,actor_id
actor_info,actor_id
actor_info,film_info
address,address_id
address,address
category,category_id
category,name
city,city_id
country,country_id
country,country
customer,customer_id
customer,last_name
customer,email
customer,address_id
customer_list,ID
customer_list,name
customer_list,address
customer_list,phone
film,film_id
film,title
film,description
film_category,film_id
film_list,FID
film_list,title
film_list,description
film_text,film_id
film_text,title
film_text,description
inventory,inventory_id
language,language_id
language,name
nicer_but_slower_film_list,FID
nicer_but_slower_film_list,title
nicer_but_slower_film_list,description
payment,payment_id
payment,rental_id
rental,rental_id
sales_by_film_category,category
sales_by_film_category,total_sales
sales_by_store,store
sales_by_store,manager
sales_by_store,total_sales
staff,staff_id
staff,first_name
staff,last_name
staff,address_id
staff,email
staff,store_id
staff,username
staff_list,ID
staff_list,name
staff_list,address
staff_list,phone
staff_list,city
staff_list,country
staff_list,SID
store,store_id
store,manager_staff_id
store,address_id
