테이블명,컬럼명,데이터_타입,분석결과
actor,actor_id,smallint,"정상 범위: (7, 189), 이상치: [1, 2, 3, 4]"
actor,first_name,varchar,"자주 나타나는 값: ['PENELOPE', 'JULIA', 'KENNETH', 'GENE'], 이상치: ['MENA', 'ANGELA', 'MARY', 'GARY']"
actor,last_name,varchar,"자주 나타나는 값: ['KILMER', 'TEMPLE', 'NOLTE', 'GUINESS'], 이상치: ['WAHLBERG', 'BAILEY', 'TANDY', 'NEESON']"
actor,last_update,timestamp,"날짜 범위: (Timestamp('2006-02-15 04:34:33'), Timestamp('2024-12-13 04:34:53'))"
actor_info,actor_id,smallint,"정상 범위: (7, 189), 이상치: [1, 2, 3, 4]"
actor_info,first_name,varchar,"자주 나타나는 값: ['PENELOPE', 'JULIA', 'KENNETH', 'GENE'], 이상치: ['MENA', 'ANGELA', 'MARY', 'GARY']"
actor_info,last_name,varchar,"자주 나타나는 값: ['KILMER', 'TEMPLE', 'NOLTE', 'GUINESS'], 이상치: ['WAHLBERG', 'BAILEY', 'TANDY', 'NEESON']"
actor_info,film_info,text,"자주 나타나는 값: [], 이상치: ['Animation: ANACONDA CONFESSIONS; Children: LANGUAGE COWBOY; Classics: COLOR PHILADELPHIA, WESTWARD SEABISCUIT; Comedy: VERTIGO NORTHWEST; Documentary: ACADEMY DINOSAUR; Family: KING EVOLUTION, SPLASH GUMP; Foreign: MULHOLLAND BEAST; Games: BULWORTH COMMANDMENTS, HUMAN GRAFFITI; Horror: ELEPHANT TROJAN, LADY STAGE, RULES HUMAN; Music: WIZARD COLDBLOODED; New: ANGELS LIFE, OKLAHOMA JUMANJI; Sci-Fi: CHEAPER CLYDE; Sports: GLEAMING JAWBREAKER', 'Animation: MISSION ZOOLANDER; Children: CLOCKWORK PARADISE, DAUGHTER MADIGAN, MAKER GABLES; Classics: WESTWARD SEABISCUIT; Documentary: NORTH TEQUILA; Drama: BEAUTY GREASE, HARRY IDAHO, UNFAITHFUL KILL; Family: OPPOSITE NECKLACE, PRESIDENT BANG; Foreign: BALLROOM MOCKINGBIRD, GRAPES FURY; Games: LAMBS CINCINATTI, ROXANNE REBEL; Horror: AIRPORT POLLOCK, DRUMS DYNAMITE, TEXAS WATCH; Music: TELEGRAPH VOYAGE; New: MASK PEACH; Sports: HYSTERICAL GRAIL, IMAGE PRINCESS; Travel: CASSIDY WYOMING, WORKING MICROCOSMOS', 'Action: DARN FORRESTER; Animation: FLYING HOOK, MASSAGE IMAGE, POTTER CONNECTICUT, PRIDE ALAMO; Children: COMANCHEROS ENEMY, DOCTOR GRAIL, JERSEY SASSY; Classics: TOWERS HURRICANE; Comedy: CAPER MOTIONS, SEARCHERS WAIT, SNATCH SLIPPER; Documentary: FRENCH HOLIDAY, HAWK CHILL, PACIFIC AMISTAD; Drama: VIRGIN DAISY; Family: BLOOD ARGONAUTS, GABLES METROPOLIS; Games: NAME DETECTIVE, VOLCANO TEXAS; Horror: PATTON INTERVIEW, WATERSHIP FRONTIER; Music: INSIDER ARIZONA, LEGEND JEDI; New: SALUTE APOLLO; Sci-Fi: ANNIE IDENTITY, FIDDLER LOST, TROJAN TOMORROW; Sports: PERDITION FARGO; Travel: FACTORY DRAGON', 'Action: BAREFOOT MANCHURIAN; Animation: BORROWERS BEDAZZLED, SLEEPLESS MONSOON; Classics: COLOR PHILADELPHIA, DRACULA CRYSTAL, ISLAND EXORCIST, WASTELAND DIVINE; Comedy: DADDY PITTSBURGH, DOWNHILL ENOUGH, STRICTLY SCARFACE, VELVET TERMINATOR; Documentary: BROTHERHOOD BLANKET, SPOILERS HELLFIGHTERS; Drama: DIARY PANIC, HOBBIT ALIEN, TREATMENT JEKYLL; Family: GANDHI KWAI, HALF OUTFIELD; Foreign: HOOSIERS BIRDCAGE, ILLUSION AMELIE, OPUS ICE, PEARL DESTINY, PURPLE MOVIE; Games: MOONWALKER FOOL, PIZZA JUMANJI; New: UNBREAKABLE KARATE; Sci-Fi: GOLDMINE TYCOON, LICENSE WEEKEND, MOURNING PURPLE; Travel: SPEED SUIT']"
address,address_id,smallint,"정상 범위: (20, 575), 이상치: [1, 2, 3, 4]"
address,address,varchar,"자주 나타나는 값: [], 이상치: ['47 MySakila Drive', '954 Lapu-Lapu Way', '1152 Citrus Heights Manor', '168 Cianjur Manor']"
address,address2,varchar,"자주 나타나는 값: [''], 이상치: []"
address,district,varchar,"자주 나타나는 값: ['Buenos Aires', 'West Bengali', 'California', 'Shandong'], 이상치: ['Southern Tagalog', 'Texas', 'Gois', 'Punjab']"
address,city_id,smallint,"정상 범위: (22, 567), 이상치: [576, 576, 582, 17]"
address,postal_code,varchar,"자주 나타나는 값: [], 이상치: ['', '9668', '22474', '52137']"
address,phone,varchar,"자주 나타나는 값: [], 이상치: ['', '737229003916', '765957414528', '679095087143']"
address,location,geometry,지원되지 않는 데이터 유형입니다.
address,last_update,timestamp,"날짜 범위: (Timestamp('2014-09-25 22:29:59'), Timestamp('2014-09-25 22:34:11'))"
category,category_id,tinyint,"정상 범위: (2, 15), 이상치: [1, 16]"
category,name,varchar,"자주 나타나는 값: ['Action', 'Animation', 'Children', 'Classics'], 이상치: []"
category,last_update,timestamp,"날짜 범위: (Timestamp('2006-02-15 04:46:27'), Timestamp('2006-02-15 04:46:27'))"
city,city_id,smallint,"정상 범위: (30, 578), 이상치: [1, 2, 3, 4]"
city,city,varchar,"자주 나타나는 값: [], 이상치: ['London', 'A Coruña (La Coruña)', 'Peoria', 'Parbhani']"
city,country_id,smallint,"정상 범위: (6, 104), 이상치: [107, 11, 89, 98]"
city,last_update,timestamp,"날짜 범위: (Timestamp('2006-02-15 04:45:25'), Timestamp('2006-02-15 04:45:25'))"
country,country_id,smallint,"정상 범위: (6, 103), 이상치: [1, 2, 3, 4]"
country,country,varchar,"자주 나타나는 값: [], 이상치: ['Afghanistan', 'North Korea', 'Saint Vincent and the Grenadines', 'Russian Federation']"
